"Player","Nation","Pos","Age","MP","Starts","Min","X90s","Gls","Ast","G.A","G.PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG.xAG","PrgC","PrgP","PrgR","Gls_90","Ast_90","G.A_90","G.PK_90","G.A.PK_90","xG_90","xAG_90","xG.xAG_90","npxG_90","npxG.xAG_90","Team","precio","precio_mas_alto"
"declan rice","eng ENG","MF",24,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,"Arsenal",120000000,120000000
"martin odegaard","no NOR","MF",24,35,35,3091,34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,"Arsenal",110000000,110000000
"ben white","eng ENG","DF",25,37,35,2988,33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5,44,192,162,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,"Arsenal",55000000,55000000
"bukayo saka","eng ENG","FW",21,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,"Arsenal",140000000,140000000
"gabriel magalhaes","br BRA","DF",25,36,34,3044,33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5,13,117,8,0.12,0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15,"Arsenal",75000000,75000000
"david raya","es ESP","GK",27,32,32,2880,32,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Arsenal",35000000,35000000
"kai havertz","de GER","MF,FW",24,37,30,2634,29.3,13,7,20,12,1,1,11,0,12.3,11.6,4.4,15.9,55,99,191,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,"Arsenal",75000000,90000000
"gabriel martinelli","br BRA","FW",22,35,24,2019,22.4,6,4,10,6,0,0,1,0,6.8,6.8,6.1,12.9,127,65,345,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58,"Arsenal",60000000,85000000
"oleksandr zinchenko","ua UKR","DF",26,27,20,1722,19.1,1,2,3,1,0,0,2,0,0.6,0.6,2.5,3.1,40,229,58,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,"Arsenal",35000000,42000000
"leandro trossard","be BEL","FW,MF",28,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,"Arsenal",35000000,38000000
"gabriel jesus","br BRA","FW",26,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38,42,155,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,"Arsenal",55000000,80000000
"jakub kiwior","pl POL","DF",23,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,"Arsenal",30000000,30000000
"takehiro tomiyasu","jp JPN","DF",24,22,10,1149,12.8,2,1,3,2,0,0,2,1,1.5,1.5,0.4,1.9,17,72,37,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15,"Arsenal",35000000,35000000
"jorginho","it ITA","MF",31,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8,101,8,0,0.2,0.2,0,0.2,0.01,0.13,0.14,0.01,0.14,"Arsenal",12000000,65000000
"thomas partey","gh GHA","MF,DF",30,14,9,788,8.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,15,72,10,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,"Arsenal",18000000,50000000
"jurrien timber","nl NED","DF",22,2,1,71,0.8,0,0,0,0,0,0,2,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,"Arsenal",38000000,45000000
"cedric soares","pt POR","DF",31,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,"Arsenal",2000000,15000000
"mohamed elneny","eg EGY","MF",31,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,"Arsenal",3500000,11000000
"ethan nwaneri","eng ENG","FW",16,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0.15,0.15,0,0.15,"Arsenal",12000000,12000000
"moises caicedo","ec ECU","MF",21,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,"Chelsea",75000000,90000000
"nicolas jackson","sn SEN","FW",22,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,"Chelsea",40000000,40000000
"cole palmer","eng ENG","FW,MF",21,33,29,2607,29,22,11,33,13,9,9,7,0,18.2,11.1,11.1,22.2,117,197,195,0.76,0.38,1.14,0.45,0.83,0.63,0.38,1.01,0.38,0.77,"Chelsea",90000000,90000000
"axel disasi","fr FRA","DF",25,31,29,2579,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30,112,21,0.07,0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,"Chelsea",35000000,42000000
